kepid,kepler_name,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration
10797460,"Kepler-227 b","K00752.01","CONFIRMED",9.48803557,170.53875,2.9575
10797460,"Kepler-227 c","K00752.02","CONFIRMED",54.4183827,162.51384,4.507
10811496,,"K00753.01","CANDIDATE",19.89913995,175.850252,1.7822
10848459,,"K00754.01","FALSE POSITIVE",1.736952453,170.307565,2.40641
10854555,"Kepler-664 b","K00755.01","CONFIRMED",2.525591777,171.59555,1.6545
10872983,"Kepler-228 d","K00756.01","CONFIRMED",11.09432054,171.20116,4.5945
10872983,"Kepler-228 c","K00756.02","CONFIRMED",4.13443512,172.97937,3.1402
10872983,"Kepler-228 b","K00756.03","CONFIRMED",2.56658897,179.55437,2.429
6721123,,"K00114.01","FALSE POSITIVE",7.36178958,132.25053,5.022
10910878,"Kepler-229 c","K00757.01","CONFIRMED",16.06864674,173.621937,3.5347
11446443,"Kepler-1 b","K00001.01","CONFIRMED",2.470613377,122.763305,1.74319
10666592,"Kepler-2 b","K00002.01","CONFIRMED",2.204735417,121.3585417,3.88864
6922244,"Kepler-8 b","K00010.01","CONFIRMED",3.522498429,121.1194228,3.19843
10984090,"Kepler-466 c","K00112.02","CONFIRMED",3.709214104,133.98318,2.6302
10419211,,"K00742.01","FALSE POSITIVE",11.521446064,170.839688,3.6399
10464078,,"K00743.01","FALSE POSITIVE",19.40393776,172.484253,12.2155
10480982,,"K00744.01","FALSE POSITIVE",19.221388942,184.5521637,4.79843
10485250,,"K00745.01","FALSE POSITIVE",16.46983774,180.881761,9.4378
10526549,"Kepler-660 b","K00746.01","CONFIRMED",9.27358173,173.258155,3.2875
10583066,"Kepler-661 b","K00747.01","CONFIRMED",6.02930329,171.602959,1.5821
10583180,,"K00748.01","FALSE POSITIVE",2.696370652,170.73769,3.6129
10601284,"Kepler-226 c","K00749.01","CONFIRMED",5.349553819,171.80694,3.0278
10601284,"Kepler-226 b","K00749.02","CONFIRMED",3.94105221,136.08662,2.5984
10601284,"Kepler-226 d","K00749.03","CONFIRMED",8.10904807,132.8031,3.596
2306756,,"K00113.01","FALSE POSITIVE",386.6030528,166.342079,6.8057
10662202,"Kepler-662 b","K00750.01","CONFIRMED",21.67699193,171.53594,3.4555
10682541,"Kepler-663 b","K00751.01","CONFIRMED",4.99677968,171.74208,2.1717
11460018,"Kepler-671 b","K00769.01","CONFIRMED",4.280963604,171.89659,2.875
11463211,,"K00770.01","FALSE POSITIVE",1.50635409,170.998064,1.5155
11465813,,"K00771.01","FALSE POSITIVE",670.645531,209.04355,53.412
11493732,,"K00772.01","FALSE POSITIVE",61.2563628,173.83826,7.633
11507101,"Kepler-672 b","K00773.01","CONFIRMED",38.3775486,172.82048,5.588
10910878,"Kepler-229 d","K00757.02","CONFIRMED",41.19725502,165.00404,4.6297
10910878,"Kepler-229 b","K00757.03","CONFIRMED",6.252962249,171.30126,2.5819
10987985,"Kepler-665 b","K00758.01","CONFIRMED",16.01308419,176.3608,3.2554
11018648,"Kepler-230 b","K00759.01","CONFIRMED",32.62876672,194.1019,4.7971
11018648,"Kepler-230 c","K00759.02","CONFIRMED",91.7732862,193.8378,6.473
11138155,"Kepler-1976 b","K00760.01","CONFIRMED",4.959319244,172.2585292,2.22739
11152159,,"K00761.01","FALSE POSITIVE",2.701287801,170.69579,3.3827
11153539,"Kepler-666 b","K00762.01","CONFIRMED",4.49876511,171.34905,3.7362
11242721,,"K00763.01","FALSE POSITIVE",19.651209505,179.401981,5.2514
9579641,"Kepler-105 b","K00115.01","CONFIRMED",5.412203927,133.143089,2.9472
11304958,"Kepler-667 b","K00764.01","CONFIRMED",41.43958662,208.93203,10.5989
11391957,"Kepler-668 b","K00765.01","CONFIRMED",8.35389523,171.63257,2.2514
11403044,"Kepler-669 b","K00766.01","CONFIRMED",4.125543472,169.752585,3.1744
11414511,"Kepler-670 b","K00767.01","CONFIRMED",2.816504904,170.9676846,2.50587
11442465,,"K00768.01","FALSE POSITIVE",33.93373447,186.67608,14.561
12110942,"Kepler-680 b","K00786.01","CONFIRMED",3.689920099,170.36571,2.6557
12366084,"Kepler-232 b","K00787.01","CONFIRMED",4.431238488,171.015,3.15
12366084,"Kepler-232 c","K00787.02","CONFIRMED",11.37936986,133.84992,2.6255
12404086,"Kepler-681 b","K00788.01","CONFIRMED",26.39432897,176.05459,3.573
8395660,"Kepler-106 c","K00116.01","CONFIRMED",13.57078281,136.279194,3.3539
9579641,"Kepler-105 c","K00115.02","CONFIRMED",7.12594387,139.00492,3.0014
11656840,,"K00774.01","FALSE POSITIVE",7.442652004,169.9717797,2.3078
11754553,"Kepler-52 c","K00775.01","CONFIRMED",16.38489988,172.72782,3.0249
11754553,"Kepler-52 b","K00775.02","CONFIRMED",7.8774163,176.3759,2.0805
11754553,"Kepler-52 d","K00775.03","CONFIRMED",36.4454001,151.60125,4.007
11812062,"Kepler-673 b","K00776.01","CONFIRMED",3.728732147,171.793255,2.683
11818800,,"K00777.01","CANDIDATE",40.4195037,173.56469,3.362
11853255,"Kepler-674 b","K00778.01","CONFIRMED",2.243380573,170.679233,1.1196
11909839,,"K00779.01","FALSE POSITIVE",10.405998015,177.197466,6.5036
11918099,"Kepler-675 b","K00780.01","CONFIRMED",2.337437946,171.761982,1.9982
11918099,,"K00780.02","CANDIDATE",7.2406612,137.75545,0.558
9579641,,"K00115.03","CANDIDATE",3.43591631,132.6624,3.133
11923270,"Kepler-676 b","K00781.01","CONFIRMED",11.59822233,180.395376,2.5237
11960862,"Kepler-677 b","K00782.01","CONFIRMED",6.575315881,173.634044,4.3084
12020329,"Kepler-678 b","K00783.01","CONFIRMED",7.275040844,169.994217,7.5377
12066335,"Kepler-231 c","K00784.01","CONFIRMED",19.27153892,186.77093,2.7594
12066335,"Kepler-231 b","K00784.02","CONFIRMED",10.06524317,136.28906,1.369
12070811,"Kepler-679 b","K00785.01","CONFIRMED",12.3935651,178.74725,3.8896
8395660,"Kepler-106 e","K00116.02","CONFIRMED",43.84439721,151.93538,6.802
3120431,,"K00798.01","FALSE POSITIVE",3.341913228,171.63943,3.813
