tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
304021498,"1031.01","FP",5.6526230,2459304.8379390,3.4340000
146589986,"1032.01","PC",5.6643704,2459283.8286850,3.8087395
149601557,"1033.01","FP",29.0161646,2460717.3985800,5.3450000
400595342,"1034.01","FP",3.6404389,2460768.6174270,2.5339234
361413119,"1035.01","PC",6.0744477,2459286.8726050,2.4954821
146172354,"1036.01","PC",3.7795212,2460037.1722730,2.9520000
363260203,"1037.01","FP",1.2025238,2459331.1245120,1.9910000
90544017,"1038.01","FP",3.2235985,2459273.3716430,2.1590000
461867584,"1039.01","APC",4.4201250,2460031.2166000,3.9560000
231670397,"104.01","KP",4.0872956,2460150.6086770,5.5861130
310483807,"1040.01","FP",2.5555500,2460756.1297890,1.5660000
385624852,"1041.01","FP",8.3079200,2459261.8012160,3.2280000
360286627,"1042.01","FP",0.7580820,2459281.3379560,1.8184632
90448944,"1043.01","FP",1.4415577,2459985.7704250,2.3490000
463402815,"1044.01","PC",1.0085089,2460037.1946720,1.6420000
54044474,"1045.01","FP",3.7039994,2459301.5441260,4.2770000
309787037,"1046.01","FP",1.3042553,2460177.8671950,1.7060000
370745311,"1047.01","FP",0.6262700,2458544.7906100,0.6660000
384549882,"1048.01","FP",0.3041200,2458518.3760000,0.7480000
16288184,"1049.01","KP",2.1805333,2458626.8015460,2.9443745
144065872,"105.01","KP",2.1846669,2459084.5850100,2.8652800
66818296,"1050.01","KP",3.7354838,2459355.5456300,4.1420000
259863352,"1051.01","FA",21.7016690,2458657.7366250,8.2676424
317060587,"1052.01","CP",9.1398040,2458332.9412290,3.0912936
112395568,"1053.01","FP",5.7426250,2458657.9991790,2.8602930
366989877,"1054.01","CP",15.5077855,2460122.7001390,4.5650000
320004517,"1055.01","CP",17.4713078,2458661.0627110,4.4284819
421894914,"1056.01","PC",5.3079507,2458326.0624240,3.2158594
323132914,"1057.01","PC",51.1701501,2458607.3509010,6.6641048
31553893,"1058.01","PC",11.1296441,2458663.0231290,7.0473822
380783252,"1059.01","PC",9.4496506,2460106.3375190,2.0210000
38846515,"106.01","KP",2.8493827,2460988.0682490,3.5488880
101230735,"1060.01","APC",2.0685633,2460149.5362260,0.3730000
253990973,"1061.01","FP",0.5409330,2458654.2532490,1.6743370
299799658,"1062.01","CP",4.1150576,2460177.2004290,1.0800000
406976746,"1063.01","PC",10.0665238,2458629.3916810,2.4023189
79748331,"1064.01","CP",6.4438657,2458656.6684780,1.9309449
79748331,"1064.02","CP",12.2265595,2458664.4901320,2.1904379
7088246,"1065.01","KP",2.1603440,2458654.3479940,1.8288540
201604954,"1066.01","KP",4.6061840,2458657.8325370,3.1216430
201642601,"1067.01","KP",3.1316735,2458656.9878740,2.4579197
6663331,"1068.01","KP",3.1803620,2458656.6332310,2.1115210
31858843,"1069.01","KP",2.9776446,2460147.3787640,2.9620000
92352620,"107.01","KP",3.9502008,2460176.9933340,4.4440000
31858844,"1070.01","FP",2.9776152,2458655.5792410,3.2569700
120247528,"1071.01","KP",3.5544026,2458655.3940590,2.0550535
140830390,"1072.01","FP",12.8379689,2459211.7321460,9.8464123
